# y_Higgs-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
            1.4      0.1188339   0.0014704442     0.11056277   0.0013306488     0.12616757   0.0019561527
            1.5     0.10379391   0.0013691106    0.096332779   0.0012330815     0.11022234    0.001828827
            1.6    0.084113822   0.0012449474    0.078764918    0.001122834    0.088946366   0.0016514806
            1.7    0.068943583   0.0011115233    0.063851347  0.00098090835    0.074307183   0.0015121624
            1.8     0.05385891  0.00099686239     0.04964129  0.00088548479    0.058044114   0.0013690554
            1.9    0.040697213  0.00086301382    0.037567542  0.00075637636     0.04435968    0.001166598
              2    0.029430364  0.00073482289    0.026526756  0.00064739101    0.032302678  0.00097140896
            2.1    0.018970317  0.00058073579    0.017199367   0.0005038319    0.020826986  0.00078126802
            2.2   0.0098404556  0.00042043805   0.0087431836   0.0003610641    0.010929252  0.00054961266
            2.3   0.0043842133  0.00028879048    0.003938054  0.00023780165    0.004818437  0.00039409857
            2.4  0.00090025261  0.00015293845  9.8306167e-05  3.4353771e-05   0.0016105372  0.00022104755
            2.5              0              0              0              0              0              0
            2.6              0              0              0              0              0              0
            2.7              0              0              0              0              0              0
            2.8              0              0              0              0              0              0
            2.9              0              0              0              0              0              0
              3              0              0              0              0              0              0
            3.1              0              0              0              0              0              0
            3.2              0              0              0              0              0              0
            3.3              0              0              0              0              0              0
            3.4              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            3.6              0              0              0              0              0              0
            3.7              0              0              0              0              0              0
            3.8              0              0              0              0              0              0
            3.9              0              0              0              0              0              0
              4              0              0              0              0              0              0
            4.1              0              0              0              0              0              0
            4.2              0              0              0              0              0              0
            4.3              0              0              0              0              0              0
            4.4              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            4.6              0              0              0              0              0              0
            4.7              0              0              0              0              0              0
            4.8              0              0              0              0              0              0
            4.9              0              0              0              0              0              0
              5              0              0              0              0              0              0
            5.1              0              0              0              0              0              0
            5.2              0              0              0              0              0              0
            5.3              0              0              0              0              0              0
            5.4              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            5.6              0              0              0              0              0              0
            5.7              0              0              0              0              0              0
            5.8              0              0              0              0              0              0
            5.9              0              0              0              0              0              0
              6              0              0              0              0              0              0
            6.1              0              0              0              0              0              0
            6.2              0              0              0              0              0              0
            6.3              0              0              0              0              0              0
            6.4              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
            6.6              0              0              0              0              0              0
            6.7              0              0              0              0              0              0
            6.8              0              0              0              0              0              0
            6.9              0              0              0              0              0              0
              7              0              0              0              0              0              0
            7.1              0              0              0              0              0              0
            7.2              0              0              0              0              0              0
            7.3              0              0              0              0              0              0
            7.4              0              0              0              0              0              0
            7.5              0              0              0              0              0              0
            7.6              0              0              0              0              0              0
            7.7              0              0              0              0              0              0
            7.8              0              0              0              0              0              0
            7.9              0              0              0              0              0              0
              8              0              0              0              0              0              0
