#           ptH        central        num_err    min (scale)        num_err    max (scale)        num_err
            190   0.0021062388  2.7351109e-05   0.0019506946  2.4652716e-05   0.0022516187  3.4145064e-05
            195   0.0019980845   2.653368e-05   0.0018470161   2.393089e-05   0.0021507334  3.3076836e-05
            200   0.0018640605  2.5569417e-05   0.0017163884  2.2800073e-05   0.0020160009  3.2051609e-05
            205   0.0017242121  2.4640196e-05   0.0015869063  2.2258129e-05   0.0018649479  3.0578778e-05
            210    0.001626355  2.4109857e-05    0.001509015  2.1615258e-05   0.0017352392  3.0086403e-05
            215   0.0015704339  2.3412031e-05   0.0014443692  2.1003104e-05   0.0016957784  2.9201727e-05
            220   0.0014201219  2.2382434e-05   0.0013091055  2.0136235e-05   0.0015245376  2.7818386e-05
            225   0.0013400522  2.2179577e-05   0.0012353052    1.98722e-05   0.0014246856  2.7347239e-05
            230   0.0012638537  2.1158468e-05   0.0011599884  1.9008898e-05   0.0013612069  2.6270985e-05
            235   0.0011680791  2.0298502e-05   0.0010749249  1.8303258e-05   0.0012502301  2.5029166e-05
            240   0.0010787584  1.9578578e-05  0.00098569455   1.733976e-05   0.0011725958  2.4448361e-05
            245   0.0010346458  1.9129541e-05  0.00094538614  1.6948371e-05    0.001130133  2.3775563e-05
            250  0.00094347845  1.8341704e-05  0.00086502016  1.6435306e-05    0.001010691  2.2718222e-05
            255  0.00093066212   1.806932e-05  0.00085055098  1.6046054e-05   0.0010102825  2.2379132e-05
            260  0.00088365771  1.7584049e-05  0.00080429093  1.5708658e-05  0.00096076165  2.1747572e-05
            265  0.00081002326  1.6671467e-05  0.00074064352  1.4787149e-05  0.00088338056  2.0957617e-05
            270  0.00071683019  1.5886439e-05  0.00064953708    1.40033e-05  0.00079057246  2.0080083e-05
            275  0.00069753467  1.5503795e-05  0.00063139556  1.3674525e-05  0.00076265647  1.9454193e-05
            280  0.00065203232  1.5150994e-05  0.00058870093  1.3207681e-05  0.00071752678  1.9078253e-05
            285  0.00060131145  1.4494561e-05  0.00054682575  1.2786164e-05  0.00065376793  1.8044765e-05
            290  0.00058912546   1.455051e-05  0.00053625551  1.2837249e-05  0.00063325253  1.7943202e-05
            295  0.00051678499  1.3593409e-05  0.00046698252  1.1937698e-05  0.00056497853  1.6900206e-05
            300  0.00051346032  1.3635541e-05  0.00046845949      1.207e-05  0.00055257476  1.6733586e-05
            305  0.00047711935   1.292207e-05  0.00043024212  1.1333553e-05  0.00052767662   1.622088e-05
            310  0.00043915187  1.2413387e-05  0.00039784404  1.0871156e-05   0.0004806107  1.5660972e-05
            315  0.00041625945  1.2082989e-05  0.00037901487  1.0641194e-05  0.00045835069   1.501321e-05
            320  0.00040439559  1.1932544e-05  0.00036272845  1.0417499e-05  0.00044912567  1.4743612e-05
            325   0.0003714727  1.1078254e-05  0.00032984313  9.5912861e-06  0.00042141239  1.4104952e-05
            330  0.00033535393  1.0579882e-05  0.00029427817  9.1124303e-06  0.00038161939  1.3303291e-05
            335  0.00030495095  1.0260537e-05  0.00027705246  9.0180654e-06  0.00033986114  1.2917476e-05
            340  0.00029885429  1.0203402e-05  0.00026908558  8.8706112e-06  0.00033082445  1.2787687e-05
            345  0.00026116032  9.5048998e-06  0.00023604534  8.2745025e-06  0.00028134199  1.1853136e-05
            350  0.00025580896  9.3224277e-06  0.00022619035  8.0148362e-06  0.00028660773  1.1784836e-05
            355   0.0002399011   8.950458e-06  0.00021015113  7.6648646e-06  0.00027467844  1.1360705e-05
            360  0.00022613944    8.75158e-06  0.00020048078  7.4759912e-06  0.00025366981  1.1152082e-05
            365  0.00023372568  8.9525227e-06  0.00021074188  7.8604939e-06  0.00026384792  1.1113909e-05
            370  0.00019290091  8.0911238e-06  0.00016814959  6.8869772e-06  0.00022170324  1.0250257e-05
            375  0.00020238953  8.3902453e-06  0.00017932535    7.21856e-06  0.00022558309  1.0644547e-05
            380  0.00016570489  7.5715824e-06  0.00014620176  6.4573427e-06   0.0001924688  9.7533643e-06
            385  0.00017075084  7.4422838e-06  0.00014617231  6.2492842e-06  0.00019904805  9.5564256e-06
            390  9.0603313e-05  5.6543907e-06   9.113549e-07  3.8492103e-07  0.00015003865   8.591141e-06
            395  0.00012541646  6.6671968e-06  6.5866454e-05  4.4273398e-06  0.00015604111  8.8752966e-06
            400   0.0001421382  6.8789164e-06  0.00011869404  5.6622489e-06   0.0001631227  8.8364252e-06
            405  0.00011713454  6.3403471e-06  9.9850754e-05  5.4318103e-06  0.00014476313  8.2831953e-06
            410  0.00011753693  6.3885896e-06  0.00010094839  5.3263892e-06  0.00013994569   8.513477e-06
            415  0.00011253313  6.2055363e-06  9.6808262e-05  5.1774763e-06  0.00013106439  8.1068027e-06
            420  0.00010194251  5.9082449e-06  8.2935339e-05  4.8327949e-06  0.00012235058  7.6025416e-06
            425  9.1064215e-05  5.4866501e-06  7.7532705e-05  4.6040775e-06  0.00010469382  6.8878038e-06
            430  8.0947794e-05  5.2113529e-06  6.1505973e-05  4.1360592e-06  0.00010510015  6.8898814e-06
            435  8.3810488e-05  5.5437094e-06    7.27578e-05  4.5863769e-06  9.4994866e-05  7.0209766e-06
            440  7.2444974e-05  5.0195169e-06  3.3020907e-05  3.1146303e-06   8.971286e-05  6.4785246e-06
            445  7.6638438e-05  5.1198903e-06  6.0947942e-05   4.137443e-06  9.1420313e-05  6.6450465e-06
            450  2.7527833e-05  3.0909033e-06  8.5522441e-07  3.7095814e-07   7.328553e-05  6.0680128e-06
            455  5.9444652e-05  4.6752975e-06  4.0357669e-05  3.5069023e-06  7.7525366e-05  6.1643542e-06
            460  5.9169637e-05  4.4460247e-06  3.2614394e-05  2.9797161e-06  7.5181475e-05  6.0513642e-06
            465  2.1791545e-05  2.6558114e-06  2.1791545e-05  2.6558114e-06  6.6762144e-05  5.7156179e-06
            470   7.043952e-05  4.9188282e-06   4.750386e-05  3.8095336e-06  8.6220115e-05  6.1353629e-06
            475  5.5843818e-05  4.4479885e-06  4.4649948e-05  3.6012627e-06  6.5260964e-05  5.4241211e-06
            480  4.4860775e-05  3.9098024e-06  3.0827806e-05  2.9760803e-06  5.9675352e-05  5.1526914e-06
            485  5.0258064e-05     4.3869e-06  3.7992929e-05  3.4455734e-06  6.3467675e-05  5.6787745e-06
            490  4.2429937e-05  3.9377045e-06  3.0880397e-05  3.0177641e-06  5.4171635e-05  5.2063287e-06
            495  4.2568219e-05  3.9146498e-06  6.8525276e-06  1.2558051e-06  5.7635989e-05  5.3200663e-06
            500  4.2568219e-05  3.9146498e-06  6.8525276e-06  1.2558051e-06  5.7635989e-05  5.3200663e-06
