#pt_Higgs-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
            130   0.0028787202   7.072824e-05   0.0026595549  6.2496333e-05   0.0031278448  9.2027089e-05
            131   0.0027475951  6.8657189e-05   0.0025347505  6.0473435e-05   0.0029221184  8.9161959e-05
            132   0.0027958182  6.9461037e-05   0.0025702544  6.1288584e-05   0.0030331676   8.878325e-05
            133   0.0027038958  6.8921885e-05   0.0024968577  6.0570538e-05   0.0028482289  8.8797537e-05
            134   0.0028194857  6.9421645e-05   0.0026015668  6.1268593e-05   0.0030345268  8.8646811e-05
            135   0.0027285465  6.9019805e-05   0.0025173089  6.0563798e-05   0.0029006831  8.8601968e-05
            136     0.00270846  6.7578663e-05   0.0024480963  5.8859466e-05   0.0029841397  8.7321292e-05
            137   0.0026823346  6.7526462e-05   0.0024525502  5.9358131e-05   0.0029438298  8.7001077e-05
            138   0.0025543059  6.7351564e-05    0.002361559  5.9261865e-05    0.002754285  8.7191552e-05
            139   0.0025154022  6.6358471e-05   0.0023403278  5.8909629e-05   0.0027164491  8.5085492e-05
            140   0.0024554939  6.5767363e-05   0.0022274679  5.7426492e-05   0.0026618058   8.486868e-05
            141   0.0024093711  6.5341445e-05   0.0022219174  5.7321272e-05   0.0025769675  8.3980924e-05
            142    0.002377351  6.4470959e-05   0.0021824842  5.6317671e-05   0.0025597254  8.2990788e-05
            143   0.0023822928  6.5053203e-05   0.0022018045  5.7560288e-05   0.0025360103  8.4074504e-05
            144    0.002302266  6.4071448e-05   0.0021244313  5.6185468e-05   0.0024831417  8.1956662e-05
            145   0.0023975447  6.4176418e-05   0.0021944065   5.628834e-05    0.002588745  8.2398115e-05
            146     0.00248725  6.6103401e-05   0.0022690736  5.7957533e-05   0.0027104246  8.4212726e-05
            147   0.0023570602  6.3525354e-05   0.0021567364  5.5940221e-05   0.0025818432  8.1091766e-05
            148   0.0021978028  6.1941595e-05   0.0020156209  5.4375425e-05    0.002354937   7.963882e-05
            149   0.0022775616  6.2388628e-05   0.0020574492  5.4489953e-05   0.0024997607  7.8951409e-05
            150   0.0022544781  6.3036939e-05   0.0020634018  5.5548817e-05   0.0024546575  8.1103281e-05
            151   0.0021182825  6.1082129e-05   0.0019454328  5.3407864e-05   0.0022989179  7.7367007e-05
            152    0.002151462  6.1853638e-05   0.0019719127   5.376277e-05   0.0023206057  7.9461216e-05
            153   0.0022591273  6.2655291e-05   0.0020784748  5.5806464e-05   0.0024224492  7.8946208e-05
            154   0.0021011845  6.1248627e-05   0.0019181419  5.3589545e-05   0.0022866938  7.8681824e-05
            155   0.0021496541  6.2147513e-05   0.0019496601  5.4515785e-05   0.0023521732  7.9054034e-05
            156   0.0021851885  6.1950272e-05   0.0019977509  5.4372372e-05    0.002387579  7.8662678e-05
            157   0.0019372292  5.9726698e-05   0.0017677439  5.1639311e-05   0.0020979029  7.6988934e-05
            158   0.0019821984  5.8752526e-05   0.0018124615  5.1383251e-05   0.0021493008  7.5240445e-05
            159   0.0020566424  6.0186537e-05   0.0018846433  5.2987132e-05   0.0022102112  7.5575129e-05
            160   0.0020148839  5.8805547e-05    0.001818725  5.1137306e-05   0.0022050715  7.4618583e-05
            161      0.0021089  6.0422752e-05   0.0019072897  5.3518343e-05   0.0023081051  7.5634874e-05
            162   0.0020563261  5.9192871e-05   0.0018654248   5.174764e-05   0.0022864712  7.5193388e-05
            163   0.0018945682   5.775663e-05   0.0017210873  5.0104485e-05    0.002081446  7.4110484e-05
            164   0.0019321203  5.8253495e-05   0.0017459774  5.0698284e-05   0.0021316512  7.4067484e-05
            165   0.0019288558  5.7859872e-05   0.0017408023  5.0125427e-05   0.0021060902  7.3130568e-05
            166   0.0018781027  5.7653798e-05   0.0017135476  5.0340513e-05   0.0020616064  7.2561103e-05
            167   0.0018158316   5.653301e-05   0.0016536342  4.9422704e-05   0.0020078377  7.2192432e-05
            168   0.0018939125  5.6480743e-05   0.0017059451  4.8927831e-05   0.0020990752  7.2445561e-05
            169   0.0018696517  5.6902883e-05   0.0017028331  4.9578047e-05    0.002036036  7.2493436e-05
            170    0.001743965  5.5270173e-05   0.0015882051  4.7587975e-05    0.001904998  7.1321672e-05
            171   0.0018419085  5.6311936e-05   0.0016530612  4.8825176e-05   0.0020502055  7.1058602e-05
            172   0.0017583591  5.5370631e-05   0.0015968702  4.8176631e-05   0.0019372642  7.0076526e-05
            173    0.001737859  5.4538581e-05   0.0015758975  4.7626855e-05   0.0019250315  6.8891959e-05
