# massHiggs+top        central        num_err    min (scale)        num_err    max (scale)        num_err
# +tbar
            800     0.11383091  0.00040706837     0.08103963  0.00029015889     0.18365413  0.00080528869
            805     0.11184276   0.0004035849    0.079604476  0.00028761662     0.17937793  0.00090418136
            810     0.10952994   0.0003994689    0.077956977  0.00028464922     0.17742745  0.00081272424
            815      0.1082394  0.00039724315    0.077034001  0.00028307137      0.1736034  0.00090981915
            820     0.10621108  0.00039306727    0.075578375  0.00028002567     0.17059335  0.00079994977
            825      0.1043447  0.00038971432    0.074255586  0.00027764529     0.16715381  0.00086273232
            830     0.10138871  0.00038386456    0.072137211  0.00027340524     0.16206852  0.00076783811
            835     0.10043624  0.00038210633    0.071450586  0.00027210952     0.16137644  0.00078387522
            840    0.097958003  0.00037747942    0.069674302  0.00026877092      0.1577763  0.00081310965
            845    0.095792377  0.00037328347    0.068127996   0.0002657615     0.15289457  0.00077309746
            850    0.094517639  0.00037040134    0.067220446  0.00026367244     0.15067688   0.0007985553
            855    0.092572517  0.00036670501    0.065828119  0.00026100691     0.14793271  0.00091265474
            860    0.091546025  0.00036460691    0.065098696  0.00025950213     0.14562321  0.00070868103
            865    0.089773885  0.00036095308    0.063824605  0.00025682739     0.14316597  0.00073580756
            870     0.08732014   0.0003559843    0.062076891  0.00025329062     0.13910824   0.0007391733
            875    0.085987606  0.00035319654    0.061126948  0.00025129243     0.13695251  0.00068995083
            880    0.084702678  0.00035038119     0.06018609  0.00024917632      0.1343144   0.0008300941
            885    0.083045629  0.00034731787    0.059016459  0.00024702448     0.13205309  0.00090389368
            890    0.081353457  0.00034366032    0.057811603  0.00024441207     0.12845507   0.0012338376
            895    0.079526647  0.00033962884    0.056493434  0.00024146281      0.1263267  0.00071523281
            900    0.078470837  0.00033732913     0.05576017  0.00023987498     0.12434735  0.00071545117
            905    0.076829871  0.00033342353    0.054581637  0.00023704787     0.12200934   0.0006476526
            910    0.075775461  0.00033138502    0.053812808  0.00023551146     0.11984331  0.00062803809
            915    0.073675128    0.000326735     0.05232558  0.00023220378     0.11779845  0.00092105499
            920    0.072412924    0.000324024    0.051420023  0.00023026657     0.11423619  0.00064217229
            925    0.071016973  0.00032062777    0.050421994  0.00022778931     0.11212339  0.00060432376
            930    0.070081785  0.00031864748    0.049752543  0.00022636356     0.11162715  0.00068326309
            935    0.068407129  0.00031473983    0.048540291  0.00022347758     0.10786358  0.00066595818
            940    0.066986928  0.00031144933    0.047543014  0.00022118755      0.1048027  0.00062647637
            945    0.065546478  0.00030820851    0.046512941  0.00021885613     0.10297196   0.0006361286
            950    0.064592893  0.00030586487     0.04583285  0.00021716902     0.10161595  0.00060241233
            955    0.064118371  0.00030471937    0.045492927  0.00021634168     0.10034822  0.00059563529
            960    0.062755687  0.00030143058    0.044532497  0.00021403389    0.098508458  0.00059731046
            965     0.06132745   0.0002977259    0.043498113  0.00021129434    0.096241763  0.00058625209
            970    0.060242846  0.00029527698    0.042721087  0.00020951524    0.094972681  0.00059736808
            975    0.059112142  0.00029241059    0.041920242  0.00020749375    0.091899955  0.00056513935
            980    0.057783167  0.00028901003    0.040976975  0.00020507463    0.090710929  0.00059431338
            985     0.05633465  0.00028536215    0.039938694  0.00020242075    0.087842874  0.00050894691
            990    0.055876124  0.00028438474    0.039614096  0.00020173571    0.087328491  0.00052776273
            995    0.054421479   0.0002805846    0.038574772  0.00019899934    0.084720285  0.00053924923
           1000    0.054421479   0.0002805846    0.038574772  0.00019899934    0.084720285  0.00053924923
