# massHiggs+top        central        num_err    min (scale)        num_err    max (scale)        num_err
# +tbar
            940     0.35986491   0.0021596771     0.34270054   0.0020678347     0.36968723   0.0030194627
            945     0.35015854   0.0021440717     0.33377273   0.0020069509     0.35837996   0.0029446234
            950     0.34313615   0.0020944843      0.3269924   0.0019098654     0.35180745   0.0029138214
            955     0.33370022   0.0021398044     0.31769807   0.0020137852      0.3429961   0.0028718509
            960     0.32855742   0.0021373595     0.31200052   0.0021243572      0.3398976   0.0029074466
            965     0.32194905   0.0021526738      0.3061581    0.002256195     0.33012795   0.0028474017
            970       0.316493   0.0020391551     0.30013839    0.002049344     0.32688883   0.0028430925
            975     0.31095355   0.0020315365      0.2967367   0.0019815436      0.3181916   0.0027791922
            980     0.30119378   0.0019911978     0.28719456   0.0019159608     0.30838567    0.002763289
            985      0.2920698   0.0019756734     0.27644081   0.0025051575     0.30210799   0.0026803333
            990     0.28869995   0.0019331169     0.27468109     0.00187378     0.29569807   0.0024677088
            995     0.28254131   0.0018969348     0.26768807   0.0017534598     0.29314575   0.0026250737
           1000     0.28254131   0.0018969348     0.26768807   0.0017534598     0.29314575   0.0026250737
