#          ptj1        central        num_err    min (scale)        num_err    max (scale)        num_err
            425  0.00054575467  1.3415264e-05  0.00054403839  1.3377499e-05  0.00055006815  1.3511071e-05
            430  0.00052007006  1.3370246e-05  0.00051854044    1.33403e-05  0.00052398822  1.3468487e-05
            435  0.00049198233  1.2954412e-05  0.00049056033  1.2916137e-05   0.0004959476  1.3038173e-05
            440  0.00048169976  1.2659771e-05  0.00048012489  1.2624467e-05  0.00048573196  1.2752458e-05
            445  0.00046630121  1.2663604e-05  0.00046495461  1.2634112e-05  0.00047033742  1.2778683e-05
            450  0.00043282525  1.2142333e-05  0.00043156144  1.2109309e-05  0.00043613798  1.2221656e-05
            455   0.0003923646  1.1517105e-05  0.00039109401  1.1499688e-05  0.00039525671  1.1593212e-05
            460  0.00037778229  1.1105881e-05  0.00037648506  1.1070681e-05  0.00038066241  1.1226397e-05
            465  0.00037581913  1.1373798e-05  0.00037468187  1.1346723e-05  0.00037862522  1.1445895e-05
            470   0.0003612068  1.0982248e-05  0.00035994977  1.0952873e-05  0.00036427826   1.106113e-05
            475  0.00033568202   1.063249e-05  0.00033444972  1.0603434e-05  0.00033858491  1.0709651e-05
            480  0.00032131638  1.0420479e-05  0.00032004066  1.0387327e-05  0.00032419078  1.0502695e-05
            485  0.00030798222  1.0082961e-05  0.00030673718  1.0053243e-05  0.00031043945  1.0147339e-05
            490  0.00029279717  9.8958442e-06  0.00029172068  9.8604102e-06  0.00029517898   9.970276e-06
            495  0.00027049027  9.5704881e-06  0.00026979431   9.549863e-06  0.00027230408  9.6277828e-06
            500  0.00027049027  9.5704881e-06  0.00026979431   9.549863e-06  0.00027230408  9.6277828e-06
