# ptHfine-aafid        central        num_err    min (scale)        num_err    max (scale)        num_err
# R2
             76   0.0043617163   8.767644e-05   0.0043348955  8.7445589e-05   0.0044087496   8.914933e-05
             77   0.0045013221  8.8537838e-05   0.0044734908  8.8095687e-05   0.0045582659  8.9646783e-05
             78   0.0045237094   8.977749e-05   0.0044991033  8.9398368e-05    0.004583913  9.0893841e-05
             79    0.004370453  8.7668075e-05    0.004334501  8.7535955e-05   0.0044173683  8.8920257e-05
             80    0.004313025  8.7325663e-05   0.0042870784  8.6913411e-05   0.0043700576  8.8357082e-05
             81   0.0043518388  8.7808299e-05   0.0043260212  8.7761488e-05   0.0044040747  8.8728247e-05
             82   0.0043769862  8.7852416e-05   0.0043515068  8.7470608e-05    0.004433787  8.8881173e-05
             83      0.0044169  8.9548223e-05   0.0043878512  8.9079516e-05   0.0044711223  9.0652485e-05
             84   0.0042447064  8.6845298e-05   0.0042187829   8.643484e-05   0.0043008582  8.7879816e-05
             85   0.0041039839  8.5775426e-05   0.0040795439  8.5362957e-05   0.0041559957  8.6706161e-05
             86   0.0042886833  8.7359373e-05   0.0042630168  8.6949626e-05   0.0043441104  8.8464817e-05
             87   0.0043564357  8.7583856e-05   0.0043315542  8.7198937e-05   0.0044093209  8.8576612e-05
             88   0.0040688342  8.5052204e-05   0.0040440831   8.461085e-05   0.0041201435  8.5952698e-05
             89   0.0039945338  8.3476456e-05    0.003970854  8.3092335e-05    0.004043739  8.4365152e-05
             90   0.0041069736  8.5522511e-05   0.0040824458  8.5154126e-05    0.004161987  8.6666524e-05
             91   0.0040300332  8.3694678e-05   0.0040098599  8.3907691e-05   0.0040794608  8.5142351e-05
             92   0.0041245509  8.5189617e-05   0.0041012006  8.4779253e-05   0.0041759779   8.618341e-05
             93   0.0040171893  8.3675438e-05   0.0039944564  8.3298614e-05   0.0040635882  8.4533448e-05
             94     0.00386704  8.2288541e-05   0.0038435546  8.1905096e-05   0.0039159324  8.3165592e-05
             95   0.0038663282  8.1948257e-05   0.0038447813  8.1576173e-05   0.0039091904   8.285478e-05
             96   0.0037237518  8.0783206e-05   0.0037018567    8.03921e-05   0.0037633848  8.1592376e-05
             97    0.003720475  8.1983329e-05    0.003698305   8.157653e-05    0.003760475  8.3113392e-05
             98   0.0036736186  8.0882691e-05   0.0036530604  8.0524187e-05    0.003716216  8.1737455e-05
             99   0.0035930609  8.0469136e-05   0.0035751088  8.0322556e-05   0.0036347966  8.1496936e-05
            100   0.0035453436  7.8457299e-05   0.0035253042  7.8142447e-05   0.0035810758  7.9395417e-05
            101   0.0037278537  8.0826686e-05   0.0037011567  8.0762793e-05   0.0037638459  8.1753956e-05
            102   0.0038444135  8.1713697e-05   0.0038204222  8.1281245e-05   0.0038792627  8.2518296e-05
            103    0.003544511  7.8843963e-05   0.0035259877  7.8449881e-05   0.0035860767  7.9672322e-05
            104   0.0035182062  7.8262266e-05   0.0034971705  7.8004818e-05    0.003543098  7.9353404e-05
            105   0.0034432408  7.7984767e-05   0.0034242415  7.7623333e-05   0.0034794929   7.871231e-05
            106   0.0033875184  7.6842126e-05   0.0033664773  7.6647318e-05   0.0034292028  7.7988714e-05
            107   0.0034237234  7.9516276e-05   0.0034028486  7.9142827e-05   0.0034605341  8.0248901e-05
            108   0.0033180703   7.615331e-05   0.0032985964  7.5783888e-05   0.0033522647  7.6823657e-05
            109   0.0033896424   7.736813e-05   0.0033697722  7.7012793e-05   0.0034242989  7.8058082e-05
            110    0.003352629  7.7502713e-05   0.0033340441   7.716042e-05   0.0033890327  7.8245784e-05
            111   0.0033825884  7.7036678e-05    0.003364152   7.668231e-05   0.0034191124  7.7720075e-05
            112   0.0033142748  7.6800481e-05   0.0032940686  7.6437746e-05     0.00334904  7.7510597e-05
            113   0.0033245796  7.4960727e-05   0.0033065981  7.4615894e-05   0.0033565046  7.5715401e-05
            114   0.0033332247  7.6392844e-05   0.0033143196  7.6042834e-05   0.0033682403  7.7084824e-05
            115   0.0031292387  7.3787496e-05   0.0031049562  7.3723109e-05   0.0031530947  7.4668676e-05
            116   0.0031496436   7.544882e-05   0.0031313115  7.5100588e-05   0.0031793368  7.6101782e-05
            117   0.0031724941  7.4124999e-05   0.0031567835  7.3888422e-05   0.0031957887  7.4819483e-05
            118   0.0030521613  7.3201969e-05   0.0030339596  7.2850868e-05   0.0030779787  7.3823125e-05
            119   0.0030890294  7.2988273e-05   0.0030769112  7.2765545e-05   0.0031215912  7.3725317e-05
            120   0.0029775287  7.2319217e-05   0.0029663517  7.2099683e-05   0.0030060017  7.3172825e-05
            121   0.0030443537  7.3652082e-05   0.0030161953  7.3505297e-05   0.0030648079  7.4714491e-05
            122   0.0030501601  7.2361755e-05   0.0030313792  7.1997449e-05   0.0030721514  7.3160693e-05
            123   0.0028939131  7.0976317e-05   0.0028700189  7.0941695e-05   0.0029165596  7.1910011e-05
            124   0.0029396196   7.160344e-05   0.0029230123  7.1279803e-05   0.0029670743  7.2181233e-05
            125   0.0029950545  7.1498346e-05   0.0029784989  7.1299393e-05   0.0030144481  7.2143547e-05
            126   0.0029733504  7.1457399e-05   0.0029566274  7.1125031e-05   0.0029969773  7.1972927e-05
            127   0.0029704907  7.2104156e-05   0.0029533801  7.1752664e-05   0.0030001153  7.2778135e-05
            128   0.0028066464  7.0013337e-05   0.0027911364  6.9689414e-05   0.0028308273  7.0557868e-05
            129   0.0028891283  7.1078736e-05   0.0028696561  7.0970921e-05   0.0029078458   7.188792e-05
            130   0.0028787202  7.0728241e-05   0.0028622753  7.0395896e-05   0.0029047295  7.1254174e-05
            131   0.0027475951   6.865719e-05    0.002738049  6.8467844e-05   0.0027778019  6.9519998e-05
            132   0.0027958183  6.9461038e-05   0.0027808837  6.9184025e-05   0.0028263273  7.0462522e-05
            133   0.0027038959  6.8921886e-05   0.0026881096  6.8609868e-05   0.0027256828  6.9381385e-05
            134   0.0028194858  6.9421646e-05   0.0028031954  6.9089967e-05   0.0028429693  6.9902232e-05
            135   0.0027285465  6.9019806e-05   0.0027126464  6.8701968e-05   0.0027517217   6.947601e-05
            136   0.0027084601  6.7578664e-05    0.002694301  6.7281863e-05   0.0027292995  6.8031206e-05
            137   0.0026823346  6.7526463e-05   0.0026663334  6.7193987e-05   0.0027014644  6.8005511e-05
