#     ptphoton1        central        num_err    min (scale)        num_err    max (scale)        num_err
            200   0.0013730302  2.2002337e-05    0.001366082  2.1904886e-05   0.0013781856  2.2096702e-05
            205   0.0012546868  2.0765901e-05   0.0012489824  2.0692701e-05   0.0012582522  2.0820197e-05
            210   0.0011338852  2.0549563e-05    0.001127973  2.0449767e-05   0.0011371338  2.0596822e-05
            215   0.0010798648  1.9332492e-05   0.0010741491   1.924248e-05   0.0010825118  1.9377988e-05
            220   0.0010007101  1.8636648e-05   0.0009959128  1.8561074e-05   0.0010033796  1.8688424e-05
            225  0.00091911184  1.7778456e-05  0.00091576617   1.774331e-05  0.00092342546  1.7885301e-05
            230  0.00079291021  1.6571426e-05  0.00078922965  1.6508474e-05  0.00079463559  1.6601591e-05
            235  0.00074241537  1.6276447e-05  0.00073879508   1.620246e-05   0.0007440972  1.6302557e-05
            240  0.00067062723  1.5630161e-05  0.00066685221  1.5565967e-05   0.0006723306  1.5672286e-05
            245  0.00061010912   1.490018e-05   0.0006069825  1.4837327e-05  0.00061112012    1.49143e-05
            250  0.00058079532  1.4003888e-05    0.000578106  1.3961361e-05  0.00058247606  1.4008949e-05
            255  0.00051381427  1.3340856e-05  0.00051152239  1.3287592e-05   0.0005149118  1.3368609e-05
            260   0.0004809523  1.2870209e-05   0.0004792296  1.2834752e-05  0.00048222731  1.2905462e-05
            265  0.00047817966  1.2853354e-05  0.00047619051  1.2804502e-05  0.00047917198   1.289246e-05
            270  0.00040833186  1.1932833e-05  0.00040505907  1.1919931e-05  0.00040899965  1.1944618e-05
            275  0.00038630274   1.149322e-05  0.00038503879  1.1460618e-05  0.00038740678   1.152255e-05
            280  0.00034203528  1.1016219e-05  0.00034096319  1.0989305e-05  0.00034263612  1.1044335e-05
            285  0.00030345462  1.0311024e-05  0.00030229404  1.0289269e-05  0.00030395455  1.0339377e-05
            290   0.0002909967  1.0016416e-05  0.00028965248  9.9798395e-06  0.00029223451  1.0047909e-05
            295  0.00027444244  9.8352435e-06  0.00027331847  9.8034173e-06  0.00027488308  9.8492303e-06
            300  0.00025352412  9.4317297e-06  0.00025266946  9.4005868e-06  0.00025388535  9.4458309e-06
            305   0.0002456056    9.29572e-06  0.00024452735   9.264105e-06   0.0002460051  9.3003474e-06
            310  0.00022048705  8.6247286e-06  0.00021979607  8.6024497e-06  0.00022082504  8.6267795e-06
            315   0.0002018015  8.4171927e-06  0.00020110256  8.3889059e-06  0.00020200025  8.4250682e-06
            320  0.00017256458  7.7294698e-06  0.00017184504  7.7069166e-06  0.00017285426  7.7420111e-06
            325  0.00015187358  7.1667034e-06  0.00015170968  7.1531206e-06  0.00015199032  7.1757455e-06
            330  0.00014542636  7.0362341e-06  0.00014506721  7.0208799e-06  0.00014563858  7.0445667e-06
            335  0.00013984954  6.9555894e-06  0.00013960028  6.9415091e-06  0.00014005448  6.9651654e-06
            340   0.0001264768  6.6664707e-06  0.00012617091  6.6490426e-06  0.00012670721  6.6754484e-06
            345  0.00012314057  6.4300475e-06  0.00012283891  6.4141535e-06  0.00012327794  6.4358322e-06
            350  0.00010185874  5.8037282e-06  0.00010143093   5.789507e-06  0.00010197185   5.799431e-06
            355   9.977765e-05  5.7902576e-06  9.9488929e-05   5.775592e-06  9.9890843e-05  5.7931694e-06
            360  7.8662264e-05   5.114954e-06  7.8586547e-05  5.1087247e-06  7.8710822e-05  5.1173066e-06
            365  7.9281608e-05  5.2023665e-06  7.9121559e-05  5.2005716e-06  7.9503298e-05  5.2079974e-06
            370  6.3315833e-05  4.7980275e-06  6.3189508e-05  4.7893641e-06  6.3408621e-05  4.8035639e-06
            375   7.590782e-05  5.0652727e-06  7.5721173e-05  5.0535159e-06  7.5977048e-05  5.0666085e-06
            380  7.1895824e-05  4.9792894e-06  7.1807509e-05  4.9762192e-06  7.1991391e-05  4.9859859e-06
            385  5.3907308e-05  4.5435264e-06  5.3847213e-05  4.5380889e-06  5.3948382e-05  4.5486717e-06
            390  5.4802418e-05   4.386166e-06  5.4699752e-05  4.3797928e-06  5.4866789e-05  4.3882546e-06
            395  4.6700441e-05   4.107486e-06  4.5988066e-05  4.0960925e-06  4.6970329e-05  4.1154173e-06
            400  4.9948716e-05  4.1170979e-06  4.9896468e-05  4.1142658e-06  4.9978841e-05   4.121794e-06
            405  4.8940014e-05  4.0829636e-06  4.8866483e-05  4.0760278e-06  4.8998846e-05  4.0856287e-06
            410    5.25592e-05  4.4136345e-06   5.251344e-05  4.4068109e-06  5.2579599e-05  4.4214271e-06
            415  3.5456577e-05  3.9166566e-06  3.5405159e-05  3.9177888e-06  3.5482932e-05  3.9172053e-06
            420  4.1817241e-05  4.1592164e-06  4.1718031e-05  4.1610407e-06  4.1914866e-05  4.1581368e-06
            425  3.2440866e-05   3.644774e-06  2.9909375e-05   3.518639e-06  3.3914694e-05  3.7146991e-06
            430  2.4410768e-05  3.3947613e-06  2.4133805e-05  3.3840898e-06  2.4634257e-05  3.4027971e-06
            435   2.241405e-05  3.1752884e-06  2.2237737e-05   3.164599e-06  2.2529421e-05  3.1838153e-06
            440  3.8529121e-05  3.8904139e-06  3.8500961e-05  3.8877685e-06  3.8576374e-05  3.8948721e-06
            445  2.8870967e-05  3.6629618e-06  2.8806021e-05  3.6592597e-06  2.8901652e-05  3.6662987e-06
            450  3.4325534e-05  3.6830407e-06   3.428091e-05  3.6799423e-06  3.4356739e-05  3.6834649e-06
            455  1.2843067e-05  2.4454848e-06  1.1855418e-05  2.3679213e-06  1.3620961e-05  2.5048528e-06
            460   1.996617e-05  3.1351505e-06  1.8618891e-05  3.0713821e-06  2.1789544e-05  3.2333166e-06
            465  1.4099608e-05  2.8857663e-06  1.0510551e-05  2.5486447e-06  1.7350235e-05  3.1483102e-06
            470  1.8121072e-05  3.2048693e-06     1.7942e-05  3.2242282e-06  1.8250584e-05  3.2162324e-06
            475   2.861149e-05  3.7206934e-06  2.8584347e-05  3.7196607e-06   2.866093e-05  3.7237367e-06
            480  1.4126054e-05  3.2415434e-06  1.3969131e-05   3.224465e-06   1.434579e-05  3.2607884e-06
            485  1.1663791e-05  2.8750038e-06   1.122465e-05  2.8402871e-06   1.209676e-05  2.9190327e-06
            490  3.0579834e-06  1.9482896e-06  2.5157696e-06  1.8288733e-06  3.5611237e-06  2.0457982e-06
            495  2.4123593e-05  3.9180166e-06  2.4046287e-05  3.9108991e-06  2.4180174e-05  3.9243094e-06
            500  2.4123593e-05  3.9180166e-06  2.4046287e-05  3.9108991e-06  2.4180174e-05  3.9243094e-06
