# massHiggs+top        central        num_err    min (scale)        num_err    max (scale)        num_err
# +tbar
            840     0.52596853    0.012773191     0.49369702    0.011516594     0.55651622    0.016157219
            845     0.54802932    0.012862637     0.50984709    0.011639002     0.58801077    0.016289891
            850     0.53871485    0.013459425     0.51191146    0.012872962     0.55613435    0.015411284
            855      0.5339937    0.012970231     0.50267342    0.011974047     0.56280779    0.016084906
            860     0.54955884    0.013317182      0.5165524     0.01272946     0.58105073    0.016112516
            865     0.54947028    0.013110757      0.5120699    0.012515931     0.58951536     0.01625631
            870     0.50601114    0.012809479     0.47608184    0.012353857     0.53378636    0.015510036
            875     0.48829645    0.012301035     0.45735121    0.011229661     0.51842627    0.015603025
            880     0.45813801    0.011957325     0.42869398    0.010878461     0.48745677    0.015008762
            885     0.49787046    0.013561603     0.46948875    0.015284694     0.52002625    0.014641758
            890     0.43352426    0.012249729     0.41080616    0.013380861      0.4557838    0.014606059
            895     0.43066475    0.011596375     0.40315276    0.010579198     0.45910864    0.014600776
            900     0.44528365    0.011912578     0.41777092    0.011197149     0.47074988    0.014578368
            905     0.41933114    0.011517189     0.39552466    0.010666871     0.43821421    0.014247418
            910     0.40121735    0.011934913     0.38031324    0.012043882     0.41665244    0.013453305
            915     0.41029569    0.017044199      0.3919695    0.022692535     0.42273535    0.013518687
            920      0.3887583    0.011073587     0.36576754    0.010141563     0.40831645    0.013978859
            925     0.39261922    0.011280744      0.3663355    0.010614672     0.41721982    0.013728609
            930      0.3848556     0.01086674     0.35960577   0.0099055163     0.40906057    0.013730019
            935     0.37250666    0.011733649     0.35267768    0.012357007     0.39017029    0.013524912
            940     0.37963199    0.011506898     0.35676424     0.01183931     0.40078041    0.013307542
            945     0.33667872     0.01072595     0.31977499    0.010899034     0.35162205    0.012906013
            950     0.35533117    0.010569276     0.32976372   0.0096993974     0.38168217     0.01305927
            955     0.31996928    0.010410548      0.3031227     0.01021349     0.33155612    0.012665619
            960     0.32256384    0.010752401     0.30356321    0.010800236     0.33889067    0.012596728
            965     0.30017837   0.0099123442     0.28565554   0.0091316543     0.31247718      0.0123878
            970     0.34302349    0.018278031     0.33173666    0.025245916     0.34852016    0.013018158
            975     0.31626811     0.01020279     0.29668453   0.0096968871     0.33472788    0.012217277
            980     0.28915776   0.0095906639     0.27284775   0.0087725902     0.30311615    0.012157413
            985     0.29212252    0.010035308      0.2775653   0.0097676262     0.30419924    0.011977329
            990     0.26548461    0.009341652     0.24962118   0.0085943613     0.27912275    0.011531799
            995     0.29455515   0.0095681457     0.27576744    0.008817277     0.31227245    0.011942512
           1000     0.29455515   0.0095681457     0.27576744    0.008817277     0.31227245    0.011942512
