#       ptHiggs        central        num_err    min (scale)        num_err    max (scale)        num_err
            510   0.0046928378  6.3101758e-05   0.0043384386  6.2547268e-05    0.005033112   6.445634e-05
            520   0.0042088959  5.8668676e-05   0.0038994575  5.8066044e-05   0.0045062262  6.0028342e-05
            530   0.0039327265   5.613714e-05   0.0036663798    5.52839e-05   0.0041884948  5.7563958e-05
            540   0.0036923146  5.3495944e-05   0.0034509908  5.2298082e-05   0.0039242766  5.5180659e-05
            550   0.0033547093  5.0524374e-05    0.003137204  4.9293082e-05   0.0035642902   5.222298e-05
            560   0.0030315707  4.8292378e-05   0.0028331705  4.7251419e-05   0.0032230212  4.9823583e-05
            570   0.0027445502  4.7123133e-05   0.0025702085  4.6628391e-05    0.002913125  4.8107937e-05
            580   0.0025241775  4.4462624e-05   0.0023624487  4.3886015e-05   0.0026809798  4.5533572e-05
            590   0.0022653328  4.2199301e-05   0.0021260728   4.182586e-05   0.0024004987  4.3054414e-05
            600   0.0021072953   4.091628e-05   0.0019872266  4.0495622e-05   0.0022236221  4.1706916e-05
            610   0.0018563947  3.7836948e-05   0.0017498843  3.7369444e-05   0.0019599047  3.8672818e-05
            620    0.001824912   3.675331e-05   0.0017276197  3.5711622e-05     0.00191927  3.7985808e-05
            630   0.0016145624  4.0064119e-05   0.0015214747   4.110484e-05   0.0017052838  3.9477288e-05
            640   0.0014837266  3.5040692e-05   0.0014056874  3.5131962e-05   0.0015596767  3.5298553e-05
            650   0.0013986721  3.2813954e-05   0.0013237111  3.2524378e-05   0.0014718818   3.342061e-05
            660   0.0012301148  3.1057884e-05   0.0011658581  3.0908036e-05   0.0012928511  3.1507659e-05
            670    0.001154004  2.9629207e-05   0.0010962672    2.92033e-05   0.0012103837  3.0275026e-05
            680   0.0010623014  2.8456744e-05   0.0010092832  2.8146075e-05   0.0011141602  2.9001354e-05
            690   0.0010305706  2.8966562e-05  0.00098139383  2.8971125e-05   0.0010785951  2.9221416e-05
            700  0.00094369843  2.6681096e-05  0.00090204483   2.630323e-05  0.00098438782  2.7221034e-05
            710  0.00081784981  2.5435213e-05  0.00077934699  2.5289546e-05  0.00085553031  2.5772715e-05
            720   0.0007921446  2.3982364e-05   0.0007586762  2.3469251e-05  0.00082487891  2.4604132e-05
            730  0.00073691411  2.3149653e-05  0.00070759738  2.2635555e-05  0.00076557148  2.3744697e-05
            740  0.00065270379  2.2987106e-05  0.00062309931   2.296878e-05  0.00068176383  2.3184278e-05
            750  0.00060533078  2.1157919e-05  0.00057999335  2.0829252e-05  0.00063018992  2.1606624e-05
            760  0.00061206636  2.1543164e-05   0.0005865348   2.134289e-05  0.00063713396  2.1884437e-05
            770   0.0004994162  1.9323023e-05  0.00047931132  1.9070502e-05  0.00051917388  1.9683631e-05
            780  0.00049461701  1.9077138e-05   0.0004764107  1.8790301e-05  0.00051248588  1.9450552e-05
            790  0.00042313419  1.7894725e-05  0.00040681085  1.7764143e-05  0.00043919393  1.8133513e-05
            800  0.00042313419  1.7894725e-05  0.00040681085  1.7764143e-05  0.00043919393  1.8133513e-05
